time,temperature_2m_mean,relative_humidity_2m_mean,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean,rain_sum
1940-07-05,10.8,83.0,0.74,11.1,0.189,0.0
1940-07-06,12.4,80.0,0.64,11.7,0.214,7.6
1940-07-07,10.6,74.0,0.79,10.6,0.208,0.0
1940-07-08,12.3,71.0,1.13,10.0,0.194,0.0
1940-07-09,13.9,70.0,1.02,11.2,0.185,0.0
1940-07-10,14.3,73.0,1.02,11.7,0.179,0.0
1940-07-11,12.7,81.0,1.05,11.6,0.173,0.0
1940-07-12,12.8,82.0,1.11,11.6,0.168,0.0
1940-07-13,12.2,79.0,1.07,11.2,0.165,0.0
1940-07-14,11.8,68.0,1.2,10.7,0.161,0.0
1940-07-15,12.3,72.0,0.79,11.2,0.156,0.0
1940-07-16,10.1,86.0,0.61,10.4,0.153,0.0
1940-07-17,11.2,84.0,0.5,10.9,0.166,4.3
1940-07-18,12.6,82.0,0.73,11.9,0.167,0.1
1940-07-19,13.2,81.0,0.82,12.8,0.16,0.0
1940-07-20,11.4,81.0,0.68,11.3,0.154,0.0
1940-07-21,11.8,93.0,0.16,11.5,0.177,6.4
1940-07-22,13.8,85.0,0.67,13.6,0.184,0.1
1940-07-23,12.3,87.0,0.47,12.3,0.174,1.3
1940-07-24,13.5,90.0,0.34,13.2,0.184,3.6
1940-07-25,12.3,83.0,0.47,12.7,0.186,2.8
1940-07-26,11.8,85.0,0.53,12.2,0.18,0.9
1940-07-27,13.4,87.0,0.65,12.9,0.171,0.0
1940-07-28,12.4,87.0,0.61,13.1,0.165,0.0
1940-07-29,13.7,86.0,0.37,13.5,0.165,2.2
1940-07-30,13.9,91.0,0.24,13.8,0.185,8.8
1940-07-31,12.4,87.0,0.34,13.1,0.229,16.6
1940-08-01,10.9,80.0,0.52,11.9,0.23,3.7
1940-08-02,11.4,74.0,0.83,11.8,0.207,0.0
1940-08-03,10.3,82.0,0.74,11.1,0.195,0.0
1940-08-04,11.6,86.0,0.66,12.0,0.187,0.0
1940-08-05,12.2,87.0,0.66,12.1,0.181,0.0
1940-08-06,11.9,90.0,0.64,11.8,0.177,0.3
1940-08-07,12.9,83.0,1.13,12.3,0.172,0.0
1940-08-08,14.9,76.0,0.87,13.5,0.167,0.3
1940-08-09,13.6,86.0,0.5,14.3,0.163,0.3
1940-08-10,12.1,90.0,0.34,12.6,0.172,4.2
1940-08-11,11.8,79.0,0.63,12.6,0.196,2.4
1940-08-12,10.4,71.0,0.58,12.0,0.208,4.3
1940-08-13,10.6,69.0,1.1,11.3,0.186,0.0
1940-08-14,11.8,75.0,1.3,11.3,0.174,0.0
